Age (Ma),GMST_degC
5.0,4.75664731939894
4.999,4.804723458434387
4.998,4.812464347314866
4.997,4.924715537286331
4.996,4.798672140951265
4.995,4.763285901954995
4.994,4.776026208157652
4.993,4.770468280829159
4.992,4.631052808746976
4.991,4.595081128603885
4.99,4.2956485838007294
4.989,4.31641457937372
4.988,4.304617231821442
4.987,4.288747694974957
4.986,4.272859050271889
4.985,4.267833670825728
4.984,4.26522027562121
4.983,4.264958429187906
4.982,4.2913570163489485
4.981,4.3210408464942525
4.98,4.3306502806784986
4.979,4.304598126800961
4.978,4.075005671486729
4.977,4.348514367069653
4.976,4.3558036587758595
4.975,4.36210276797861
4.974,4.348861174451998
4.973,4.346235906926774
4.972,4.322123499406833
4.971,3.87977414505234
4.97,4.244844321542915
4.969,4.091859065682716
4.968,4.123072846854796
4.967,4.13964619343493
4.966,4.156199209741162
4.965,4.171411629876237
4.964,4.227186836233437
4.963,4.204288369423641
4.962,4.217898309644247
4.961,4.4188110712845905
4.96,4.150499980923774
4.959,4.26052894752261
4.958,4.2742553237664955
4.957,4.081279728603732
4.956,4.07211512939748
4.955,4.0164587991152425
4.954,3.951730834161851
4.953,3.893702638408748
4.952,3.8588678585528906
4.951,4.0783797810998985
4.95,3.7900517157431337
4.949,3.7653558418990922
4.948,3.7720735999719337
4.947,3.7794663052910322
4.946,3.781370937952107
4.945,3.3999773859195996
4.944,3.754851442769365
4.943,3.751092993701703
4.942,3.789255642542636
4.941,3.829339192966718
4.94,3.809271615312955
4.939,3.9212998059390145
4.938,3.934142310288507
4.937,3.9411485466705907
4.936,3.9430239857791016
4.935,4.044615437606975
4.934,3.6572192766426954
4.933,3.91988481087119
4.932,3.881182029153557
4.931,3.863909448287615
4.93,3.8976359759371215
4.929,3.8983112017194954
4.928,3.5108883500291053
4.927,3.942033554697424
4.926,3.946594686974203
4.925,3.9986823979740675
4.924,3.802063731673363
4.923,3.8362878598407413
4.922,3.796472618254154
4.921,3.724153654000837
4.92,3.5747712470652484
4.919,3.6143482562883165
4.918,3.211237198860926
4.917,3.511057975053636
4.916,3.4596077639885365
4.915,3.398222706574801
4.914,3.37955992164511
4.913,3.404178999197609
4.912,3.364134672383874
4.911,3.426304368741941
4.91,3.4699190262751585
4.909,3.476205232331422
4.908,3.415780944302608
4.907,3.5376288806320795
4.906,3.561408353697846
4.905,3.556179316794934
4.904,3.5387064049238464
4.903,3.437063400467976
4.902,3.4005684272235226
4.901,3.3747647556234908
4.9,3.3001033714781496
4.899,3.35771344078869
4.898,3.345583156326281
4.897,3.3315851264144007
4.896,3.4831990202727847
4.895,3.4247965745445765
4.894,3.3661646794262325
4.893,3.406823485793118
4.892,3.629897240748308
4.891,3.7266810619666657
4.89,3.896653724027244
4.889,3.994793588270486
4.888,4.066577495723522
4.887,4.137210021114991
4.886,4.153844082125873
4.885,4.158543898573215
4.884,3.6846134393132424
4.883,4.101198020287393
4.882,4.038869008634617
4.881,3.9619080849436483
4.88,3.8912361612537607
4.879,3.9138430621440152
4.878,3.842525556504901
4.877,3.8157336857385538
4.876,3.7929929003291343
4.875,3.8042720078469485
4.874,3.7345105275792587
4.873,3.717050439765256
4.872,3.670198910466833
4.871,3.599012805162084
4.87,3.3239558023222773
4.869,3.7715378154044013
4.868,3.7615340628636678
4.867,3.8021212440431826
4.866,3.564582194055669
4.865,3.632845583141647
4.864,3.93600068668191
4.863,3.658700443613843
4.862,3.544047370974939
4.861,3.5324849155512705
4.86,3.4411017404087643
4.859,3.4279953558040246
4.858,3.412801803849617
4.857,3.4957821121298993
4.856,3.3860827835286185
4.855,3.3951468974642824
4.854,3.4042055313295645
4.853,3.403632538662787
4.852,3.410535659625325
4.851,3.8689550247356386
4.85,3.4243189312195907
4.849,3.4225853532300454
4.848,3.4216398457499873
4.847,3.4786799925103513
4.846,3.543886852479293
4.845,3.6087169027681676
4.844,3.6647562405770193
4.843,3.6812497063900933
4.842,3.7477219825439834
4.841,3.7314475753960017
4.84,3.753470354500394
4.839,3.7282583357354073
4.838,3.6711270389955346
4.837,3.6137686655890757
4.836,3.5786951336019115
4.835,3.5518254542743035
4.834,3.4342053493771756
4.833,3.4633897742221964
4.832,3.379571188800147
4.831,3.4845159632443754
4.83,3.206026063716919
4.829,3.347825196083214
4.828,3.3165440790348018
4.827,3.351506418704155
4.826,3.4496087746165203
4.825,3.4917176201841706
4.824,3.5687230823570655
4.823,3.4443959844165444
4.822,3.479759932291027
4.821,3.4089726525090294
4.82,3.3423669629873465
4.819,3.5028539997916317
4.818,3.572875570756571
4.817,3.7250948667495165
4.816,3.6674087306516503
4.815,3.873051273127947
4.814,3.7209185323952934
4.813,3.739256088520173
4.812,3.764593359121645
4.811,3.7848686178531956
4.81,3.809247074821791
4.809,3.825240828766262
4.808,3.249615431243467
4.807,3.2838476069331213
4.806,3.2700236122693482
4.805,3.8091957960827973
4.804,3.2423379512522015
4.803,2.7994046662648886
4.802,2.9072760905030277
4.801,2.942756981270679
4.8,2.3759668442453847
4.799,3.2664341032517243
4.798,3.1573458117915916
4.797,3.2719015532158187
4.796,3.300998047456039
4.795,3.310664073138597
